a,b,c,d,e,f,g,h,i,j,k,l,m,n
25,4,1,7,4,7,3,2,1,0,0,40,39,0
38,4,11,9,2,5,0,4,1,0,0,50,39,0
28,2,7,12,2,11,0,4,1,0,0,40,39,1
44,4,15,10,2,7,0,2,1,7688,0,40,39,1
18,0,15,10,4,0,3,4,0,0,0,30,39,0
34,4,0,6,4,8,1,4,1,0,0,30,39,0
29,0,11,9,4,0,4,2,1,0,0,40,39,0
63,6,14,15,2,10,0,4,1,3103,0,32,39,1
24,4,15,10,4,8,4,4,0,0,0,40,39,0
55,4,5,4,2,3,0,4,1,0,0,10,39,0
65,4,11,9,2,7,0,4,1,6418,0,40,39,1
36,1,9,13,2,1,0,4,1,0,0,40,39,0
26,4,11,9,4,1,1,4,0,0,0,39,39,0
58,0,11,9,2,0,0,4,1,0,0,35,39,0
48,4,11,9,2,7,0,4,1,3103,0,48,39,1
43,4,12,14,2,4,0,4,1,0,0,50,39,1
20,7,15,10,4,8,3,4,1,0,0,25,39,0
43,4,11,9,2,1,5,4,0,0,0,30,39,0
37,4,11,9,6,7,4,4,0,0,0,20,39,0
40,4,10,16,2,10,0,1,1,0,0,45,0,1
34,4,9,13,2,13,0,4,1,0,0,47,39,1
34,4,15,10,4,8,3,2,0,0,0,35,39,0
72,0,5,4,0,0,1,4,0,0,0,6,39,0
25,4,9,13,4,10,1,4,1,0,0,43,29,0
25,4,9,13,2,10,0,4,1,0,0,40,39,0
45,6,11,9,2,3,0,4,1,7298,0,90,39,1
22,4,11,9,4,1,3,4,1,0,0,20,39,0
23,4,11,9,5,7,4,2,1,0,0,54,39,0
54,4,11,9,2,3,0,4,1,0,0,35,39,0
32,6,15,10,4,10,1,4,1,0,0,60,39,0
46,7,15,10,2,4,0,2,1,7688,0,38,39,1
56,6,1,7,6,8,4,4,0,0,0,50,39,0
24,6,9,13,4,12,1,4,1,0,0,50,39,0
23,2,15,10,2,11,0,4,1,0,0,40,39,0
26,4,11,9,0,4,4,4,0,0,0,40,39,0
65,0,11,9,2,0,0,4,1,0,0,40,39,0
