,b,c,e,f,g,h,i,m,n,a,d,j,k,l
0,2,15,2,11,0,4,1,39,0,49.25,10.0,68.94,0.0,46.98
1,4,9,4,10,1,4,0,39,0,24.66,13.0,489.99,219.95,45.18
2,4,9,2,4,0,4,1,39,1,33.91,13.0,29480.86,880.42,34.06
3,4,4,4,1,1,4,0,26,0,25.0,3.0,0.0,0.0,33.0
4,4,7,4,10,1,4,0,39,0,40.35,12.0,0.0,0.0,50.61
5,4,11,4,6,3,4,1,39,0,20.97,9.0,407.85,0.0,24.06
6,7,5,2,6,0,4,1,39,0,32.0,4.0,0.0,0.0,19.0
7,4,15,4,12,1,1,1,30,0,22.0,10.0,0.0,0.0,20.0
8,4,11,2,7,0,4,1,26,0,42.73,9.0,0.0,0.0,40.05
9,4,15,4,6,3,4,1,39,0,22.21,10.0,0.0,285.34,34.27
10,4,11,2,12,0,4,1,39,0,38.83,9.0,1080.52,8.51,58.43
11,7,11,2,14,0,4,1,39,1,49.61,9.0,0.0,0.0,44.32
12,2,11,4,8,3,2,1,39,0,26.11,9.0,0.0,0.0,37.7
13,4,9,0,10,4,2,1,39,0,44.0,13.0,0.0,0.0,40.0
14,4,11,2,10,0,4,1,39,0,59.23,9.0,1300.58,154.31,46.36
15,2,11,2,8,0,4,1,39,0,47.99,9.0,1372.19,382.45,45.62
16,4,9,2,14,0,4,1,39,1,46.58,13.0,1474.72,22.8,42.05
17,4,8,5,8,1,4,0,39,0,46.33,11.0,0.0,0.0,31.13
18,6,15,4,10,1,2,0,39,1,39.0,10.0,0.0,0.0,48.0
19,4,15,4,10,2,2,0,39,0,20.0,10.0,594.0,0.0,20.0
20,4,8,5,8,1,2,1,39,0,26.0,11.0,0.0,0.0,40.0
21,4,9,4,12,1,4,0,39,0,32.55,13.0,1432.23,781.27,37.41
22,4,1,2,7,0,4,1,39,0,40.04,7.0,0.0,0.0,28.29
23,4,9,2,4,0,4,1,39,0,23.95,13.0,624.72,84.06,55.07
24,4,11,2,7,0,4,1,39,0,30.62,9.0,13.61,208.57,38.69
25,4,11,4,12,3,4,1,39,0,22.14,9.0,0.0,118.31,49.45
26,4,11,2,14,1,4,1,39,0,35.0,9.0,0.0,0.0,40.0
27,4,9,2,12,0,4,1,39,1,55.86,13.0,3058.44,214.43,41.7
28,1,15,2,4,0,4,1,39,0,41.37,10.0,0.0,0.0,33.21
29,4,8,5,3,1,4,1,39,0,32.14,11.0,0.0,0.0,35.25
30,4,11,2,3,0,4,1,39,0,40.88,9.0,637.5,358.27,39.06
31,4,9,4,8,1,2,0,39,1,45.0,13.0,0.0,0.0,44.0
32,4,6,2,6,0,4,1,33,0,33.0,5.0,0.0,0.0,40.0
33,4,12,4,10,1,4,0,39,1,39.41,14.0,2692.91,255.66,42.56
34,0,11,2,0,0,4,1,39,0,37.94,9.0,480.69,52.15,55.14
35,4,12,2,10,0,4,1,39,1,50.1,14.0,23115.62,475.02,53.48
36,4,0,4,6,1,4,1,39,0,33.1,6.0,0.0,0.0,37.72
37,2,15,3,1,4,2,0,39,0,45.49,10.0,0.0,0.0,29.08
38,4,9,3,10,2,2,0,39,0,59.0,13.0,2202.0,0.0,37.0
39,4,15,4,8,1,4,0,39,0,20.13,10.0,237.14,82.96,25.77
40,4,11,4,6,1,2,1,39,0,34.66,9.0,0.0,0.0,37.67
41,4,9,0,13,4,4,0,39,1,41.0,13.0,0.0,0.0,40.0
42,4,11,4,12,1,4,1,39,0,31.82,9.0,1023.23,330.3,46.35
43,6,11,2,12,0,4,1,39,0,72.05,9.0,573.98,183.72,39.55
44,4,9,0,10,1,4,1,39,0,31.88,13.0,3576.23,0.0,39.71
45,4,11,2,3,0,4,1,39,1,40.29,9.0,8684.75,261.98,45.27
46,4,9,4,4,3,4,0,39,0,26.12,13.0,0.0,0.0,30.26
47,4,11,5,12,4,2,0,39,0,52.08,9.0,0.0,0.0,18.59
48,4,8,2,10,5,4,0,39,0,52.82,11.0,792.9,0.0,22.89
49,4,15,0,8,1,4,0,39,0,51.71,10.0,0.0,188.28,36.73
50,4,9,4,12,3,4,1,39,0,24.66,13.0,1043.27,450.36,46.69
51,4,11,2,1,5,4,0,39,0,40.27,9.0,440.78,89.1,43.69
52,4,9,2,10,0,4,1,39,1,42.84,13.0,11897.05,208.13,40.76
53,4,8,2,8,0,4,1,20,0,38.0,11.0,0.0,0.0,70.0
54,4,12,0,4,1,4,0,39,0,33.47,14.0,2693.17,0.0,54.88
55,4,11,2,3,0,4,1,26,0,38.79,9.0,0.0,0.0,40.47
56,0,6,6,0,4,4,1,39,0,78.0,5.0,0.0,0.0,40.0
57,4,9,4,10,1,4,1,39,0,36.88,13.0,1154.08,347.29,63.77
58,4,15,4,10,3,4,0,39,0,25.02,10.0,206.18,0.0,23.14
59,4,14,2,10,0,4,1,39,1,46.37,15.0,195.55,507.53,52.47
60,4,15,4,10,1,4,0,39,0,32.36,10.0,482.4,0.0,41.94
61,4,11,4,8,4,4,1,8,0,24.0,9.0,0.0,0.0,40.0
62,4,11,4,6,3,4,1,39,0,33.7,9.0,248.51,0.0,28.53
63,1,15,4,4,3,2,0,39,0,42.46,10.0,0.0,0.0,40.0
64,4,9,2,10,0,4,1,39,1,55.69,13.0,3324.89,366.94,34.66
65,4,8,0,13,1,4,0,39,0,52.88,11.0,523.9,0.0,48.53
66,4,11,5,8,4,2,0,39,0,30.77,9.0,0.0,0.0,23.39
67,4,1,6,8,4,3,1,39,0,65.0,7.0,0.0,0.0,40.0
68,2,9,4,10,4,4,1,39,1,49.0,13.0,0.0,0.0,60.0
69,6,9,2,4,0,4,1,39,1,62.17,13.0,3069.62,545.26,33.3
70,4,3,6,7,1,4,0,7,0,67.0,2.0,2062.0,0.0,34.0
71,4,9,5,10,1,4,1,39,1,34.21,13.0,4100.96,0.0,46.58
72,6,15,2,3,0,4,1,39,0,54.06,10.0,460.26,2.45,37.75
73,4,8,2,3,0,4,1,39,0,63.68,11.0,1814.96,194.18,40.37
74,1,14,2,10,0,4,1,0,1,37.18,15.0,1488.96,0.0,45.0
75,0,7,0,0,1,4,0,2,0,60.0,12.0,0.0,0.0,45.0
76,4,9,2,12,0,2,1,39,1,57.89,13.0,145.63,0.0,49.45
77,4,11,4,6,1,2,1,39,0,34.42,9.0,0.0,0.0,52.36
78,4,11,4,5,3,4,1,39,0,25.68,9.0,0.0,0.0,21.38
79,4,11,2,1,5,4,0,39,0,54.02,9.0,728.52,489.0,30.72
80,6,7,0,10,4,4,1,39,0,57.0,12.0,0.0,0.0,40.0
81,4,11,6,7,1,4,0,39,0,44.72,9.0,0.0,0.0,44.3
82,2,15,2,10,0,2,1,23,1,36.0,10.0,0.0,1887.0,40.0
83,4,9,2,10,0,4,1,39,0,43.32,13.0,1339.64,209.61,42.66
84,2,15,2,7,0,4,1,39,1,44.0,10.0,7688.0,0.0,40.0
85,4,0,4,7,1,4,1,39,0,49.75,6.0,0.0,0.0,50.88
86,1,9,2,10,0,4,1,39,1,44.97,13.0,898.36,300.78,52.19
87,4,11,5,7,4,4,0,5,0,41.0,9.0,0.0,0.0,44.0
88,0,15,2,0,0,4,1,39,1,67.33,10.0,16278.85,704.51,21.36
89,4,15,2,1,0,4,1,39,1,27.66,10.0,5769.03,259.33,54.05
90,4,12,4,4,1,4,0,39,0,36.77,14.0,2815.87,1183.57,41.49
91,4,15,6,7,2,4,1,0,0,37.0,10.0,0.0,0.0,40.0
92,1,9,2,1,0,4,1,39,1,46.92,13.0,1466.0,542.74,37.84
93,4,15,4,12,3,4,1,39,0,26.71,10.0,52.27,281.57,34.77
94,4,15,4,6,3,4,1,39,0,20.51,10.0,0.0,372.45,26.31
95,4,7,2,3,0,4,1,39,1,25.45,12.0,2126.13,282.66,25.58
96,4,11,0,1,1,4,1,39,0,41.59,9.0,0.0,0.0,38.35
97,4,0,2,7,0,2,1,39,0,46.18,6.0,0.0,296.27,47.93
98,4,9,2,10,0,4,1,39,0,37.27,13.0,1136.68,72.69,46.42
99,4,11,4,12,3,2,0,39,0,26.23,9.0,0.0,297.09,37.18
100,6,11,2,5,0,4,1,39,0,44.85,9.0,1859.12,279.35,50.39
101,4,8,4,4,4,4,0,4,0,49.0,11.0,0.0,0.0,35.0
102,4,0,2,5,0,4,1,39,0,37.42,6.0,0.0,0.0,46.82
103,4,11,4,8,3,4,0,39,0,25.35,9.0,2666.37,229.43,13.01
104,2,9,4,10,1,4,1,39,0,37.3,13.0,0.0,155.51,52.13
105,4,9,2,4,0,4,1,39,1,56.06,13.0,5358.79,212.01,54.23
106,4,9,2,12,0,4,1,39,0,42.7,13.0,84.93,311.09,55.33
107,4,15,4,12,3,4,0,39,0,23.14,10.0,416.55,148.76,21.25
108,4,9,2,10,0,4,1,39,1,38.15,13.0,12591.53,757.84,49.01
109,6,12,2,10,5,4,0,0,1,51.0,14.0,15024.0,0.0,55.0
110,4,8,4,4,1,4,1,39,0,35.95,11.0,0.0,0.0,38.02
111,4,11,0,7,3,4,0,39,0,44.9,9.0,0.0,0.0,40.0
112,6,9,2,10,0,4,1,39,1,49.17,13.0,8830.85,769.86,28.85
113,4,11,2,3,0,2,1,39,0,39.31,9.0,1730.51,64.61,41.12
114,0,11,4,0,3,4,0,39,0,25.09,9.0,88.77,443.48,40.21
115,2,5,2,14,0,4,1,39,0,42.88,4.0,0.0,153.77,38.84
116,6,14,2,10,0,4,1,39,1,55.17,15.0,13829.58,809.32,38.2
117,4,0,4,8,3,4,0,39,0,23.12,6.0,616.63,208.26,28.24
118,4,1,4,8,1,4,0,21,0,34.0,7.0,0.0,0.0,40.0
119,4,11,0,1,4,0,0,39,0,55.0,9.0,0.0,0.0,45.0
120,4,8,0,12,1,4,0,39,1,30.0,11.0,0.0,0.0,40.0
121,4,11,0,1,1,4,0,39,0,46.85,9.0,0.0,140.35,47.42
122,4,11,2,3,0,4,1,39,0,51.6,9.0,530.15,498.12,45.01
123,0,11,2,0,0,4,1,39,0,45.41,9.0,897.96,100.25,21.6
124,4,15,0,8,4,2,0,39,0,36.01,10.0,0.0,0.0,40.58
125,4,6,0,12,1,4,1,39,0,61.0,5.0,0.0,0.0,25.0
126,6,14,2,10,0,4,1,39,0,55.92,15.0,0.0,0.0,48.16
127,4,1,4,6,3,4,1,39,0,17.65,7.0,162.08,200.5,21.02
128,2,0,2,1,5,4,0,39,0,69.0,6.0,0.0,0.0,17.0
129,1,15,0,10,1,0,0,39,0,60.0,10.0,0.0,0.0,40.0
130,4,11,2,4,0,4,1,39,1,74.07,9.0,3098.94,1340.3,39.35
131,4,11,4,4,1,4,1,39,0,31.0,9.0,1018.61,1334.41,49.94
132,4,15,2,1,3,4,1,39,1,30.0,10.0,0.0,0.0,40.0
133,4,11,2,14,0,2,1,39,1,36.28,9.0,130.05,707.66,50.43
134,1,9,0,4,1,4,1,39,1,47.47,13.0,0.0,0.0,43.48
135,4,11,6,8,4,4,0,39,0,68.06,9.0,0.0,0.0,22.19
136,4,15,4,1,1,4,0,39,0,34.07,10.0,1202.48,115.86,34.87
137,4,9,4,12,3,4,1,39,1,32.37,13.0,9005.55,0.0,39.35
138,1,8,4,1,1,4,0,39,0,38.0,11.0,0.0,0.0,40.0
139,0,15,4,0,3,4,1,39,0,19.75,10.0,39.24,656.0,40.06
140,4,15,0,4,4,2,0,39,0,49.35,10.0,0.0,0.0,42.47
141,1,11,4,3,3,4,1,39,0,30.13,9.0,0.0,0.0,34.65
142,4,8,6,8,4,4,0,39,0,52.0,11.0,0.0,0.0,13.0
143,2,12,2,10,0,4,1,39,1,49.56,14.0,8420.44,591.5,46.51
144,4,15,2,12,0,4,1,39,0,71.2,10.0,2148.74,387.76,45.86
145,4,11,0,13,4,4,0,39,0,45.54,9.0,1447.47,0.0,41.18
146,4,11,2,14,0,4,1,39,1,61.48,9.0,13837.64,195.49,47.22
147,4,9,2,12,0,2,1,39,0,32.98,13.0,0.0,0.0,30.29
148,4,15,4,8,1,1,0,39,0,21.85,10.0,0.0,0.0,27.23
149,4,11,4,8,1,2,0,0,0,32.0,9.0,0.0,0.0,40.0
150,0,11,2,0,0,4,1,39,0,58.51,9.0,735.46,112.7,53.4
151,2,11,4,3,1,4,1,39,0,23.58,9.0,0.0,0.0,49.27
152,4,15,2,10,0,4,1,39,1,40.74,10.0,3173.89,14.9,46.89
153,5,15,4,5,3,4,1,39,0,19.91,10.0,0.0,0.0,60.0
154,4,15,2,13,0,4,1,39,0,27.86,10.0,503.12,20.05,34.55
155,4,15,4,8,1,4,1,39,0,36.9,10.0,1172.04,236.45,25.24
156,4,9,2,10,0,4,1,39,1,38.26,13.0,10432.43,349.61,36.95
157,4,11,4,8,3,4,1,39,0,24.33,9.0,329.56,82.27,31.13
158,6,0,2,8,0,4,1,39,0,44.0,6.0,0.0,0.0,70.0
159,4,11,2,14,0,4,1,39,1,31.72,9.0,7456.63,6.08,60.04
160,4,1,4,14,3,4,0,39,0,22.27,7.0,0.0,0.0,27.56
161,4,11,2,8,0,0,1,39,0,41.0,9.0,0.0,0.0,45.0
162,4,11,2,7,0,2,1,39,0,55.09,9.0,533.98,0.0,42.03
163,4,11,2,3,2,4,1,39,0,23.0,9.0,0.0,0.0,40.0
164,7,15,0,1,4,2,1,23,0,27.0,10.0,0.0,0.0,40.0
165,4,6,4,8,3,4,1,39,0,23.34,5.0,857.51,0.0,28.2
166,4,12,2,4,0,4,1,39,1,52.28,14.0,19511.27,1132.8,44.75
167,4,15,4,8,1,4,1,39,0,26.67,10.0,71.34,148.61,23.45
168,4,15,4,7,3,2,0,39,0,25.52,10.0,1270.95,0.0,44.67
169,6,11,0,5,1,4,1,39,1,38.27,9.0,21435.71,0.0,43.19
170,0,15,4,0,1,4,1,39,0,28.33,10.0,292.23,549.45,33.95
171,4,15,2,13,0,4,1,39,0,23.35,10.0,2176.37,235.49,41.49
