,b,c,e,f,g,h,i,m,n,a,d,j,k,l
0,2,15,2,11,0,4,1,39,0,49,10,68,0,46
1,4,9,4,10,1,4,0,39,0,24,13,489,219,45
2,4,9,2,4,0,4,1,39,1,33,13,29480,880,34
3,4,4,4,1,1,4,0,26,0,25,3,0,0,33
4,4,7,4,10,1,4,0,39,0,40,12,0,0,50
5,4,11,4,6,3,4,1,39,0,20,9,407,0,24
6,7,5,2,6,0,4,1,39,0,32,4,0,0,19
7,4,15,4,12,1,1,1,30,0,22,10,0,0,20
8,4,11,2,7,0,4,1,26,0,42,9,0,0,40
9,4,15,4,6,3,4,1,39,0,22,10,0,285,34
10,4,11,2,12,0,4,1,39,0,38,9,1080,8,58
11,7,11,2,14,0,4,1,39,1,49,9,0,0,44
12,2,11,4,8,3,2,1,39,0,26,9,0,0,37
13,4,9,0,10,4,2,1,39,0,44,13,0,0,40
14,4,11,2,10,0,4,1,39,0,59,9,1300,154,46
15,2,11,2,8,0,4,1,39,0,47,9,1372,382,45
16,4,9,2,14,0,4,1,39,1,46,13,1474,22,42
17,4,8,5,8,1,4,0,39,0,46,11,0,0,31
18,6,15,4,10,1,2,0,39,1,39,10,0,0,48
19,4,15,4,10,2,2,0,39,0,20,10,594,0,20
20,4,8,5,8,1,2,1,39,0,26,11,0,0,40
21,4,9,4,12,1,4,0,39,0,32,13,1432,781,37
22,4,1,2,7,0,4,1,39,0,40,7,0,0,28
23,4,9,2,4,0,4,1,39,0,23,13,624,84,55
24,4,11,2,7,0,4,1,39,0,30,9,13,208,38
25,4,11,4,12,3,4,1,39,0,22,9,0,118,49
26,4,11,2,14,1,4,1,39,0,35,9,0,0,40
27,4,9,2,12,0,4,1,39,1,55,13,3058,214,41
28,1,15,2,4,0,4,1,39,0,41,10,0,0,33
29,4,8,5,3,1,4,1,39,0,32,11,0,0,35
30,4,11,2,3,0,4,1,39,0,40,9,637,358,39
31,4,9,4,8,1,2,0,39,1,45,13,0,0,44
32,4,6,2,6,0,4,1,33,0,33,5,0,0,40
33,4,12,4,10,1,4,0,39,1,39,14,2692,255,42
34,0,11,2,0,0,4,1,39,0,37,9,480,52,55
35,4,12,2,10,0,4,1,39,1,50,14,23115,475,53
36,4,0,4,6,1,4,1,39,0,33,6,0,0,37
37,2,15,3,1,4,2,0,39,0,45,10,0,0,29
38,4,9,3,10,2,2,0,39,0,59,13,2202,0,37
39,4,15,4,8,1,4,0,39,0,20,10,237,82,25
40,4,11,4,6,1,2,1,39,0,34,9,0,0,37
41,4,9,0,13,4,4,0,39,1,41,13,0,0,40
42,4,11,4,12,1,4,1,39,0,31,9,1023,330,46
43,6,11,2,12,0,4,1,39,0,72,9,573,183,39
44,4,9,0,10,1,4,1,39,0,31,13,3576,0,39
45,4,11,2,3,0,4,1,39,1,40,9,8684,261,45
46,4,9,4,4,3,4,0,39,0,26,13,0,0,30
47,4,11,5,12,4,2,0,39,0,52,9,0,0,18
48,4,8,2,10,5,4,0,39,0,52,11,792,0,22
49,4,15,0,8,1,4,0,39,0,51,10,0,188,36
50,4,9,4,12,3,4,1,39,0,24,13,1043,450,46
51,4,11,2,1,5,4,0,39,0,40,9,440,89,43
52,4,9,2,10,0,4,1,39,1,42,13,11897,208,40
53,4,8,2,8,0,4,1,20,0,38,11,0,0,70
54,4,12,0,4,1,4,0,39,0,33,14,2693,0,54
55,4,11,2,3,0,4,1,26,0,38,9,0,0,40
56,0,6,6,0,4,4,1,39,0,78,5,0,0,40
57,4,9,4,10,1,4,1,39,0,36,13,1154,347,63
58,4,15,4,10,3,4,0,39,0,25,10,206,0,23
59,4,14,2,10,0,4,1,39,1,46,15,195,507,52
60,4,15,4,10,1,4,0,39,0,32,10,482,0,41
61,4,11,4,8,4,4,1,8,0,24,9,0,0,40
62,4,11,4,6,3,4,1,39,0,33,9,248,0,28
63,1,15,4,4,3,2,0,39,0,42,10,0,0,40
64,4,9,2,10,0,4,1,39,1,55,13,3324,366,34
65,4,8,0,13,1,4,0,39,0,52,11,523,0,48
66,4,11,5,8,4,2,0,39,0,30,9,0,0,23
67,4,1,6,8,4,3,1,39,0,65,7,0,0,40
68,2,9,4,10,4,4,1,39,1,49,13,0,0,60
69,6,9,2,4,0,4,1,39,1,62,13,3069,545,33
70,4,3,6,7,1,4,0,7,0,67,2,2062,0,34
71,4,9,5,10,1,4,1,39,1,34,13,4100,0,46
72,6,15,2,3,0,4,1,39,0,54,10,460,2,37
73,4,8,2,3,0,4,1,39,0,63,11,1814,194,40
74,1,14,2,10,0,4,1,0,1,37,15,1488,0,45
75,0,7,0,0,1,4,0,2,0,60,12,0,0,45
76,4,9,2,12,0,2,1,39,1,57,13,145,0,49
77,4,11,4,6,1,2,1,39,0,34,9,0,0,52
78,4,11,4,5,3,4,1,39,0,25,9,0,0,21
79,4,11,2,1,5,4,0,39,0,54,9,728,489,30
80,6,7,0,10,4,4,1,39,0,57,12,0,0,40
81,4,11,6,7,1,4,0,39,0,44,9,0,0,44
82,2,15,2,10,0,2,1,23,1,36,10,0,1887,40
83,4,9,2,10,0,4,1,39,0,43,13,1339,209,42
84,2,15,2,7,0,4,1,39,1,44,10,7688,0,40
85,4,0,4,7,1,4,1,39,0,49,6,0,0,50
86,1,9,2,10,0,4,1,39,1,44,13,898,300,52
87,4,11,5,7,4,4,0,5,0,41,9,0,0,44
88,0,15,2,0,0,4,1,39,1,67,10,16278,704,21
89,4,15,2,1,0,4,1,39,1,27,10,5769,259,54
90,4,12,4,4,1,4,0,39,0,36,14,2815,1183,41
91,4,15,6,7,2,4,1,0,0,37,10,0,0,40
92,1,9,2,1,0,4,1,39,1,46,13,1466,542,37
93,4,15,4,12,3,4,1,39,0,26,10,52,281,34
94,4,15,4,6,3,4,1,39,0,20,10,0,372,26
95,4,7,2,3,0,4,1,39,1,25,12,2126,282,25
96,4,11,0,1,1,4,1,39,0,41,9,0,0,38
97,4,0,2,7,0,2,1,39,0,46,6,0,296,47
98,4,9,2,10,0,4,1,39,0,37,13,1136,72,46
99,4,11,4,12,3,2,0,39,0,26,9,0,297,37
100,6,11,2,5,0,4,1,39,0,44,9,1859,279,50
101,4,8,4,4,4,4,0,4,0,49,11,0,0,35
102,4,0,2,5,0,4,1,39,0,37,6,0,0,46
103,4,11,4,8,3,4,0,39,0,25,9,2666,229,13
104,2,9,4,10,1,4,1,39,0,37,13,0,155,52
105,4,9,2,4,0,4,1,39,1,56,13,5358,212,54
106,4,9,2,12,0,4,1,39,0,42,13,84,311,55
107,4,15,4,12,3,4,0,39,0,23,10,416,148,21
108,4,9,2,10,0,4,1,39,1,38,13,12591,757,49
109,6,12,2,10,5,4,0,0,1,51,14,15024,0,55
110,4,8,4,4,1,4,1,39,0,35,11,0,0,38
111,4,11,0,7,3,4,0,39,0,44,9,0,0,40
112,6,9,2,10,0,4,1,39,1,49,13,8830,769,28
113,4,11,2,3,0,2,1,39,0,39,9,1730,64,41
114,0,11,4,0,3,4,0,39,0,25,9,88,443,40
115,2,5,2,14,0,4,1,39,0,42,4,0,153,38
116,6,14,2,10,0,4,1,39,1,55,15,13829,809,38
117,4,0,4,8,3,4,0,39,0,23,6,616,208,28
118,4,1,4,8,1,4,0,21,0,34,7,0,0,40
119,4,11,0,1,4,0,0,39,0,55,9,0,0,45
120,4,8,0,12,1,4,0,39,1,30,11,0,0,40
121,4,11,0,1,1,4,0,39,0,46,9,0,140,47
122,4,11,2,3,0,4,1,39,0,51,9,530,498,45
123,0,11,2,0,0,4,1,39,0,45,9,897,100,21
124,4,15,0,8,4,2,0,39,0,36,10,0,0,40
125,4,6,0,12,1,4,1,39,0,61,5,0,0,25
126,6,14,2,10,0,4,1,39,0,55,15,0,0,48
127,4,1,4,6,3,4,1,39,0,17,7,162,200,21
128,2,0,2,1,5,4,0,39,0,69,6,0,0,17
129,1,15,0,10,1,0,0,39,0,60,10,0,0,40
130,4,11,2,4,0,4,1,39,1,74,9,3098,1340,39
131,4,11,4,4,1,4,1,39,0,31,9,1018,1334,49
132,4,15,2,1,3,4,1,39,1,30,10,0,0,40
133,4,11,2,14,0,2,1,39,1,36,9,130,707,50
134,1,9,0,4,1,4,1,39,1,47,13,0,0,43
135,4,11,6,8,4,4,0,39,0,68,9,0,0,22
136,4,15,4,1,1,4,0,39,0,34,10,1202,115,34
137,4,9,4,12,3,4,1,39,1,32,13,9005,0,39
138,1,8,4,1,1,4,0,39,0,38,11,0,0,40
139,0,15,4,0,3,4,1,39,0,19,10,39,656,40
140,4,15,0,4,4,2,0,39,0,49,10,0,0,42
141,1,11,4,3,3,4,1,39,0,30,9,0,0,34
142,4,8,6,8,4,4,0,39,0,52,11,0,0,13
143,2,12,2,10,0,4,1,39,1,49,14,8420,591,46
144,4,15,2,12,0,4,1,39,0,71,10,2148,387,45
145,4,11,0,13,4,4,0,39,0,45,9,1447,0,41
146,4,11,2,14,0,4,1,39,1,61,9,13837,195,47
147,4,9,2,12,0,2,1,39,0,32,13,0,0,30
148,4,15,4,8,1,1,0,39,0,21,10,0,0,27
149,4,11,4,8,1,2,0,0,0,32,9,0,0,40
150,0,11,2,0,0,4,1,39,0,58,9,735,112,53
151,2,11,4,3,1,4,1,39,0,23,9,0,0,49
152,4,15,2,10,0,4,1,39,1,40,10,3173,14,46
153,5,15,4,5,3,4,1,39,0,19,10,0,0,60
154,4,15,2,13,0,4,1,39,0,27,10,503,20,34
155,4,15,4,8,1,4,1,39,0,36,10,1172,236,25
156,4,9,2,10,0,4,1,39,1,38,13,10432,349,36
157,4,11,4,8,3,4,1,39,0,24,9,329,82,31
158,6,0,2,8,0,4,1,39,0,44,6,0,0,70
159,4,11,2,14,0,4,1,39,1,31,9,7456,6,60
160,4,1,4,14,3,4,0,39,0,22,7,0,0,27
161,4,11,2,8,0,0,1,39,0,41,9,0,0,45
162,4,11,2,7,0,2,1,39,0,55,9,533,0,42
163,4,11,2,3,2,4,1,39,0,23,9,0,0,40
164,7,15,0,1,4,2,1,23,0,27,10,0,0,40
165,4,6,4,8,3,4,1,39,0,23,5,857,0,28
166,4,12,2,4,0,4,1,39,1,52,14,19511,1132,44
167,4,15,4,8,1,4,1,39,0,26,10,71,148,23
168,4,15,4,7,3,2,0,39,0,25,10,1270,0,44
169,6,11,0,5,1,4,1,39,1,38,9,21435,0,43
170,0,15,4,0,1,4,1,39,0,28,10,292,549,33
171,4,15,2,13,0,4,1,39,0,23,10,2176,235,41
172,1,7,2,1,0,4,1,39,0,47,12,0,0,46
173,4,11,2,14,0,4,1,39,1,41,9,7766,974,36
174,6,15,0,4,1,0,0,39,0,49,10,0,0,40
175,4,15,2,7,0,4,1,39,0,39,10,1172,545,42
176,4,10,2,10,0,4,1,39,0,42,16,0,1237,52
177,4,11,2,8,0,4,1,39,0,43,9,948,80,45
178,4,7,4,4,1,4,1,39,1,61,12,5821,0,53
179,5,8,2,12,0,4,1,39,1,41,11,0,0,54
180,5,9,0,12,1,4,0,39,0,42,13,0,0,52
181,0,11,0,0,1,4,0,39,0,53,9,287,10,54
182,4,9,2,4,0,4,1,2,1,45,13,0,0,48
183,4,11,4,6,3,2,1,39,0,24,9,0,0,34
184,4,11,2,4,0,4,1,39,1,63,9,9180,636,48
185,2,15,4,10,1,4,0,39,0,23,10,0,1219,34
186,4,15,4,1,3,4,1,39,0,26,10,202,542,19
187,6,15,2,3,0,4,1,39,0,39,10,736,359,24
188,4,14,2,10,0,4,1,39,1,43,15,66711,548,68
189,2,12,4,10,3,4,0,39,0,37,14,0,0,39
190,4,2,0,7,3,4,1,39,0,33,8,0,0,40
191,4,11,0,14,1,4,1,39,1,37,9,5130,225,47
192,7,9,2,1,0,4,1,39,1,41,13,7353,532,46
193,4,11,2,6,0,4,1,39,0,33,9,1401,29,39
194,6,11,2,5,0,4,1,39,0,45,9,253,500,38
195,5,15,2,5,0,4,1,39,0,50,10,0,0,58
196,4,11,2,8,5,4,0,39,0,44,9,1323,933,39
197,4,15,5,4,1,4,1,2,0,42,10,0,0,60
198,4,11,4,6,1,4,1,39,0,34,9,447,17,34
199,4,11,4,3,3,4,1,39,0,33,9,855,179,51
200,4,9,2,3,0,2,1,39,1,51,13,5433,0,45
201,4,11,4,1,1,4,1,39,0,21,9,1126,0,54
202,2,15,6,1,4,4,0,26,0,54,10,0,0,40
203,4,15,4,12,4,4,0,39,0,30,10,0,0,29
204,4,15,4,1,3,1,1,39,0,21,10,0,0,20
205,4,15,4,10,3,4,1,39,0,22,10,0,0,23
206,6,11,0,3,3,4,1,39,0,33,9,0,0,44
207,6,15,2,12,0,4,1,39,1,47,10,59496,544,65
208,4,11,2,14,0,4,1,39,0,51,9,296,326,47
209,0,5,6,0,1,4,1,39,0,83,4,0,0,11
210,4,9,4,10,1,4,1,39,0,33,13,1192,126,50
211,4,15,2,8,0,4,1,39,0,37,10,0,88,50
212,4,11,0,12,4,4,1,39,0,46,9,321,0,36
213,6,15,2,5,0,4,1,39,1,36,10,3486,1029,60
214,4,11,4,3,1,4,1,39,0,31,9,48,341,42
215,4,9,2,12,0,4,1,39,1,44,13,5808,610,45
216,5,12,4,14,3,4,1,39,0,27,14,0,0,40
217,4,11,4,3,1,3,1,39,0,32,9,0,0,40
218,6,1,0,8,1,4,0,39,1,66,7,0,0,40
219,4,11,0,8,2,1,0,35,0,30,9,0,0,40
220,4,11,2,7,0,4,1,39,0,33,9,393,250,44
221,4,9,0,12,1,4,1,39,0,56,13,0,41,45
222,5,15,2,4,0,4,1,39,0,55,10,0,397,58
223,4,11,2,12,0,4,1,39,0,38,9,1468,528,53
224,7,11,4,1,1,4,0,39,0,28,9,0,0,39
225,7,14,2,10,0,4,1,39,1,52,15,5354,794,48
226,4,15,4,4,1,4,0,39,0,25,10,110,184,38
227,4,11,2,3,0,4,1,39,1,39,9,123,1056,58
228,5,14,2,10,0,4,1,39,1,61,15,52756,2,50
229,4,8,0,3,1,4,1,39,0,32,11,3244,206,41
230,4,14,2,10,0,4,1,39,1,43,15,13400,286,50
231,7,11,0,1,1,4,0,39,0,50,9,0,571,37
232,4,12,2,4,0,4,1,39,1,43,14,6348,1006,63
233,4,11,4,3,1,4,1,39,0,39,9,45,183,53
234,2,15,4,3,1,4,1,39,0,32,10,0,618,29
